"carinsurance.com","com","",2010,49700000.00
"vacationrentals.com","com","",2007,35000000.00
"privatejet.com","com","",2007,30180000.00
"360.com","com","",2015,17000000.00
"insure.com","com","",2009,16000000.00
"bonds.com","com","",2014,15000000.00
"sex.com","com","",2010,13000000.00
"irs.com","com","",2007,12500000.00
"hotels.com","com","",2001,11000000.00
"cardratings.com","com","",2008,10200000.00
"fund.com","com","",2008,9999950.00
"porn.com","com","",2007,9500000.00
"porno.com","com","",2015,8888888.00
"fb.com","com","",2010,8500000.00
"we.com","com","",2015,8000000.00
"diamond.com","com","",2006,7500000.00
"beer.com","com","",2004,7000000.00
"z.com","com","",2014,6784000.00
"icloud.com","com","",2011,6000000.00
"israel.com","com","",2008,5880000.00
"casino.com","com","",2003,5500000.00
"slots.com","com","",2010,5500000.00
"jd.com","com","",2012,5243856.00
"toys.com","com","",2009,5100000.00
"asseenontv.com","com","",2000,5000000.00
"korea.com","com","",2000,5000000.00
"seo.com","com","",2007,5000000.00
"77.com","com","",2015,5000000.00
"clothes.com","com","",2009,4900000.00
"medicare.com","com","",2014,4800000.00
"ig.com","com","",2013,4700000.00
"giftcard.com","com","",2012,4000000.00
"yp.com","com","",2008,3850000.00
"mi.com","com","",2014,3600000.00
"freecreditcheck.com","com","",2008,3500000.00
"shop.com","com","",2003,3500000.00
"game.com","com","",2014,3400000.00
"wine.com","com","",2003,3300000.00
"altavista.com","com","",1999,3250000.00
"software.com","com","",2005,3200000.00
"whisky.com","com","",2014,3100000.00
"loans.com","com","",2000,3000000.00
"vodka.com","com","",2006,3000000.00
"ice.com","com","",2014,3000000.00
"wines.com","com","",2004,2900000.00
"shopping.de","de","",2009,2858945.00
"creditcards.com","com","",2004,2750000.00
"pizza.com","com","",2008,2605000.00
"social.com","com","",2011,2600000.00
"creditscores.com","com","",2008,2588240.00
"tom.com","com","",1999,2500000.00
"investing.com","com","",2012,2450000.00
"youxi.com","com","",2014,2430000.00
"kk.com","com","",2013,2400000.00
"affiliateprogram.com","com","",2008,2352950.00
"autos.com","com","",1999,2200000.00
"coupons.com","com","",2000,2200000.00
"114.com","com","",2013,2100000.00
"computer.com","com","",2007,2100000.00
"england.com","com","",1999,2000000.00
"express.com","com","",2000,2000000.00
"telephone.com","com","",2000,2000000.00
"37.com","com","",2014,1960912.38
"savings.com","com","",2003,1900000.00
"mortgage.com","com","",2000,1800000.00
"seniors.com","com","",2007,1800000.00
"fly.com","com","",2009,1760000.00
"dating.com","com","",2010,1750000.00
"auction.com","com","",2009,1700000.00
"datarecovery.com","com","",2008,1659000.00
"branson.com","com","",2006,1600000.00
"ticket.com","com","",2009,1525000.00
"cameras.com","com","",2006,1500000.00
"deposit.com","com","",2000,1500000.00
"fly.com","com","",1999,1500000.00
