,SIMPLE COMPARISON,,,,,,,,,,PRIVACY,,,,,,,,,,,,,,,TECHNICAL,,,,,,,,,,,,,,,,,,,,,,,WEBSITE,,,,,PRICING,,,,ETHICS,,,,,,,
,      (RAW DATA TO THE RIGHT) --->,,,,,,,,,,JURISDICTION,,,LOGGING,,,,,ACTIVISM,,,,,,,SERVICE CONFIGURATION,,,,,,,,,,,,,,SECURITY,,,,,AVAILABILITY,,,,COOKIES,,CONFIGURATION,,,,,,,BUSINESS PRACTICES,,,,,,AFFILIATES,
Sheet last updated 8/13/2018,PRIVACY,,,TECHNICAL,,,BUSINESS,,,,,,,ACTIVITY,,CONNECTION,,,,,,,,,,LEAK PROTECTION,,,OBFUSCATION / CENSORSHIP AVOIDANCE,,,,,,,NETWORK NEUTRALITY,,AVERAGE SPEEDS,,SERVER,DATA ENCRYPTION,,HANDSHAKE ENCRYPTION,,,,,,,,,,,,,,,GOOD FAITH,,,AFFILIATE / RESELLER POLICY,,,,
VPN SERVICE,Jurisdiction,Logging,Activism,Service Config,Security,Availability,Website,Pricing,Ethics,,Based in (Country),"""Fourteen Eyes"" Country",Enemy of the Internet,Traffic,DNS Requests,Timestamps,Bandwidth,IP Address,Anonymous Payment Method,Accepts Cash,Accepts Gift Cards,Accepts Crypto Currency,PGP Key Available,Gives back to Privacy Causes,Meets PrivacyToolsIO Criteria,1st Party DNS Servers,IPv6 Supported / Blocked,Offers OpenVPN,Supports Multihop,Supports TCP Port 443,Supports Obfsproxy,Supports SOCKS,Supports SSL Tunnel,Supports SSH Tunnel,Other Proprietary Protocols,Blocks SMTP (Authent.),Blocks P2P,US Server DL Speeds (%),International Server DL Speeds (%),Dedicated or Virtual,Default Provided,Strongest Provided,Weakest Provided,Strongest Provided,# of Simultaneous Connections,# of Countries,# of Servers,Linux Support (Manual),# of Persistent Cookies,# of External Trackers,# of Proprietary API's,Server SSL Rating,SSL Certificate issued to,$ / Month - (Annual Pricing),$ / Connection / Month,Free Trial Available,Refund Window (Days),Contradictory Logging Policies,Falsely Claims Service is 100% Effective,Incentivizes social media spam,Forbids spam,Requires ethical copy,Requires full disclosure,Practice ethical copy,Give full disclosure
Astrill,0,3,4,2.5,1.5,2,8,4,5,,Seychelles,No,No,,,Yes,,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,,,,,,,Some,,,,,AES-128,,,2,54,254,,4,1,2,A-,Self,$5.83,$2.92,Yes,7,,,,No,No,No,No,No
Avast Secureline,1,3.5,4,1,1.5,2,3,4,2.5,,Czech Republic,Cooperative,No,,,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,,,,,,,,,,,,,,AES-256,,,1,19,27,,0,0,16,A,Self,$6.67,$6.67,Yes,30,,,,Yes,Some,No,,No
Avira Phantom VPN,1,2,5,0,1.5,2,8,1,1.5,,Germany,Fourteen,No,No,,,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,AES-256,,,25,20,,,16,8,14,A,Self,$6.50,$0.26,Yes,30,,,,Yes,Yes,Some,,No
AzireVPN,1,0,0,0,0,1,1,2,4,,Sweden,Fourteen,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,No,No,,,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,5,4,26,Yes,1,0,0,A+,Self,$4.11,$0.82,Yes,7,,,,No,No,No,,No
BeeVPN,1,2,1,5,1.5,5,10,8,0,,Denmark,Nine,No,,,,,,Email,No,No,Yes,No,No,No,No,No,No,,,,,,,,,No,,,,,AES-256,,,1,4,,,4,1,12,C,Self,$7.17,$7.17,No,0,,,,,,,,
Betternet,3,3,2,5,2.5,3,3,0,0,,Canada,Five,No,,,Yes,Yes,,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,25,,,No,1,1,2,A,Self,$0.00,$0.00,Free,Free,,,,,,,,
BlackVPN,0,0,0,2,0,0,6,5,0,,Hong Kong,No,No,No,No,No,No,No,Email,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,,,Yes,,,Some,Some,56.91,16.03,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,7,19,27,Yes,4,1,8,A,CloudFlare,$9.03,$1.29,No,14,,,,,,,,
Blockless,3,2,2,4,2.5,5,8,7,3,,Canada,Five,No,,,,,,Email,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,1,,,,5,3,9,A,CloudFlare,$4.17,$4.17,No,0,,,,No,No,No,,
BolehVPN,0,0,0,0.5,0,0,5,4,0,,Seychelles,No,No,No,No,No,No,No,Email,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Some,0,7.78,,AES-128,AES-256,RSA-4096,RSA-4096,3,13,35,Yes,6,2,7,A,Self,$6.67,$2.22,Yes,14,,,,Yes,Yes,Yes,,
Boxpn,0,2,1,2,2.5,0,11,4,4,,Seychelles,No,No,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,No,,,,,Blowfish-128,See Note,See Note,3,22,80,,23,12,25,A,CloudFlare,$2.99,$1.00,No,0,,,,No,No,No,,No
