# tcp-scan-services -- TCP port number to service name map file for tcp-scan
#
# This file contains the TCP port number to service name mapping file that
# is used by tcp-scan to display TCP service names.
#
# The format of this file is the same as that used for the services file used
# by Unix, Linux and Windows, which is typically located in /etc/services or
# %WINDIR%\system32\drivers\etc\services.
#
aurora-cmgr	364/tcp
dtk	365/tcp
odmr	366/tcp
mortgageware	367/tcp
qbikgdp	368/tcp
rpc2portmap	369/tcp
codaauth2	370/tcp
clearcase	371/tcp
ulistproc	372/tcp
legent-1	373/tcp
legent-2	374/tcp
hassle	375/tcp
nip	376/tcp
tnETOS	377/tcp
dsETOS	378/tcp
is99c	379/tcp
is99s	380/tcp
hp-collector	381/tcp
hp-managed-node	382/tcp
hp-alarm-mgr	383/tcp
arns	384/tcp
ibm-app	385/tcp
asa	386/tcp
aurp	387/tcp
unidata-ldm	388/tcp
ldap	389/tcp
uis	390/tcp
synotics-relay	391/tcp
synotics-broker	392/tcp
meta5	393/tcp
embl-ndt	394/tcp
netcp	395/tcp
netware-ip	396/tcp
mptn	397/tcp
kryptolan	398/tcp
iso-tsap-c2	399/tcp
work-sol	400/tcp
ups	401/tcp
genie	402/tcp
decap	403/tcp
nced	404/tcp
ncld	405/tcp
imsp	406/tcp
timbuktu	407/tcp
prm-sm	408/tcp
prm-nm	409/tcp
decladebug	410/tcp
rmt	411/tcp
synoptics-trap	412/tcp
smsp	413/tcp
infoseek	414/tcp
bnet	415/tcp
silverplatter	416/tcp
onmux	417/tcp
hyper-g	418/tcp
ariel1	419/tcp
smpte	420/tcp
ariel2	421/tcp
ariel3	422/tcp
opc-job-start	423/tcp
opc-job-track	424/tcp
icad-el	425/tcp
smartsdp	426/tcp
svrloc	427/tcp
ocs_cmu	428/tcp
ocs_amu	429/tcp
utmpsd	430/tcp
utmpcd	431/tcp
iasd	432/tcp
nnsp	433/tcp
mobileip-agent	434/tcp
mobilip-mn	435/tcp
dna-cml	436/tcp
comscm	437/tcp
dsfgw	438/tcp
dasp	439/tcp
sgcp	440/tcp
decvms-sysmgt	441/tcp
cvc_hostd	442/tcp
https	443/tcp
snpp	444/tcp
microsoft-ds	445/tcp
ddm-rdb	446/tcp
ddm-dfm	447/tcp
ddm-ssl	448/tcp
as-servermap	449/tcp
tserver	450/tcp
sfs-smp-net	451/tcp
sfs-config	452/tcp
creativeserver	453/tcp
contentserver	454/tcp
creativepartnr	455/tcp
macon-tcp	456/tcp
scohelp	457/tcp
appleqtc	458/tcp
ampr-rcmd	459/tcp
skronk	460/tcp
datasurfsrv	461/tcp
datasurfsrvsec	462/tcp
alpes	463/tcp
kpasswd	464/tcp
urd	465/tcp
digital-vrc	466/tcp
mylex-mapd	467/tcp
photuris	468/tcp
rcp	469/tcp
scx-proxy	470/tcp
mondex	471/tcp
ljk-login	472/tcp
hybrid-pop	473/tcp
tn-tl-w1	474/tcp
tcpnethaspsrv	475/tcp
tn-tl-fd1	476/tcp
ss7ns	477/tcp
spsc	478/tcp
iafserver	479/tcp
iafdbase	480/tcp
ph	481/tcp
bgs-nsi	482/tcp
ulpnet	483/tcp
integra-sme	484/tcp
powerburst	485/tcp
avian	486/tcp
saft	487/tcp
gss-http	488/tcp
nest-protocol	489/tcp
micom-pfs	490/tcp
go-login	491/tcp
ticf-1	492/tcp
