Stage;TLD;Flags;Registry;"Registry Group";Backend;Start;End;Description
SR;reisen;;"New Cypress, LLC";"Donuts Inc.";"Rightside Registry";2014-05-20T16:00:00Z;2014-07-19T15:59:59Z;
SR;town;;"Koko Moon, LLC";"Donuts Inc.";"Rightside Registry";2014-05-20T16:00:00Z;2014-07-19T15:59:59Z;
SR;toys;;"Pioneer Orchard, LLC";"Donuts Inc.";"Rightside Registry";2014-05-20T16:00:00Z;2014-07-19T15:59:59Z;
SR;university;;"Little Station, LLC";"Donuts Inc.";"Rightside Registry";2014-05-20T16:00:00Z;2014-07-19T15:59:59Z;
GA;best;;"BestTLD Pty Ltd";"PeopleBrowsr Inc.";"Neustar Inc.";2014-05-21T16:00:00Z;2099-12-31T23:59:59Z;
EA;cruises;;"Spring Way, LLC";"Donuts Inc.";"Rightside Registry";2014-05-21T16:00:00Z;2014-05-28T16:00:00Z;
GA;exposed;;"Victor Beach, LLC";"Donuts Inc.";"Rightside Registry";2014-05-21T16:00:00Z;2099-12-31T23:59:59Z;
EA;flights;;"Fox Station, LLC";"Donuts Inc.";"Rightside Registry";2014-05-21T16:00:00Z;2014-05-28T16:00:00Z;
GA;foundation;;"John Dale, LLC";"Donuts Inc.";"Rightside Registry";2014-05-21T16:00:00Z;2099-12-31T23:59:59Z;
EA;rentals;;"Big Hollow,LLC";"Donuts Inc.";"Rightside Registry";2014-05-21T16:00:00Z;2014-05-28T16:00:00Z;
EA;vacations;;"Atomic Tigers, LLC";"Donuts Inc.";"Rightside Registry";2014-05-21T16:00:00Z;2014-05-28T16:00:00Z;
EA;villas;;"New Sky, LLC";"Donuts Inc.";"Rightside Registry";2014-05-21T16:00:00Z;2014-05-28T16:00:00Z;
GA;dance;;"Rightside Registry";;"Rightside Registry";2014-05-21T17:00:00Z;2099-12-31T23:59:59Z;
GA;democrat;;"Rightside Registry";;"Rightside Registry";2014-05-21T17:00:00Z;2099-12-31T23:59:59Z;
GA;xn--c1avg;;"Public Interest Registry";;"Afilias Limited";2014-05-27T07:00:00Z;2099-12-31T23:59:59Z;
