HTHStudios.com,SHA1(SALTSHA1(SALTSHA1(PLAIN))) / BCRYPT / JOOMLA / PHPBB3
Forum.utorrent.com,MD5 / SHA1
Forum.twt-inc.com,VBULLETIN
Forum.sprintframework.net,VBULLETIN
Forum.luna-atra.fr,VBULLETIN
Forum.longevity-inc.com,VBULLETIN
Forum.keypublishing.com,VBULLETIN
Forum.isilo.com,VBULLETIN
Forum.graceonthemoon.com,VBULLETIN
Fon,MD5
Foe-rs.com,MD5
Flashflashrevolution.com,VBULLETIN
Flashacking.net,VBULLETIN
Fileice Forums,PHPBB3
Fijilive.com,MD5
Fightsite.hr,VBULLETIN
Feathercoin,SHA1
Extreme-forum.net,VBULLETIN
Epicnpc.com,VBULLETIN
Epicbot.com,VBULLETIN
Elvinelol.com,VBULLETIN
Elluel.net,VBULLETIN
Ecaytrade.com,MD5
Eazysubs.com,VBULLETIN
Eastbound88.com,VBULLETIN
Dogewallet.com,MD5
District37ama.org,VBULLETIN
Devilwar,PHPBB3
DDO.com,VBULLETIN
Darkstar-gaming.com,VBULLETIN
Darkmills.cc,VBULLETIN
Csi.dcs.gla.ac.uk,MD5
Crochetalk.com,VBULLETIN
Counterstrike.cn,MD5
Corruptionx.com,VBULLETIN
Community.playkot.com,VBULLETIN
Community.inin.com,VBULLETIN
Community.freebord.com,VBULLETIN
Comicbookdb.com,BCRYPT
Battlefy.com,BCRYPT / SHA1(SALTPLAIN)
Coffeeforums.com,VBULLETIN
Casial.net,VBULLETIN
Cashisonline.com,VBULLETIN
Capitalgames.com,VBULLETIN
Burningwheel.com,VBULLETIN
Broncosforums.com,VBULLETIN
Bolt.cd,VBULLETIN
Bodyweb.com,VBULLETIN
Bodybuildingforums.com.au,VBULLETIN
Board.uscho.com,VBULLETIN
Bmwforums.info,VBULLETIN
Bleachmyasylum.com,VBULLETIN
Bleachanime.org,MD5
Blackhatworld.com,VBULLETIN
Birdphotographers.net,VBULLETIN
Bdph.de,VBULLETIN
Bafoeg-aktuell.de,VBULLETIN
Backpack.tf,IPB
Awt-gpi.com,MD5
Avast.com,SHA1
Ausbb.com,VBULLETIN
Ausamarok.com.au,VBULLETIN
Atheistfoundation.org.au,VBULLETIN
Asylum,SHA1
Asuslaptop.co.uk,MD5(SALTPLAIN)
Asterisk-france.org,VBULLETIN
Askgamblers.com,IPB
Armycadetforce.com,VBULLETIN
Angler-glueck.de,VBULLETIN
Androidsis.com,VBULLETIN
Amt-games.com,VBULLETIN
Alwafd.org,JOOMLA
Allowmenstalk.com,WORDPRESS
AllAboutTheGames.co.uk,MD5CRYPT
Airsociety.net,VBULLETIN
Aipai.com,MD5
Aeroquad.com,VBULLETIN
Adult-forum.org,VBULLETIN
Admissioninfo.co,VBULLETIN
ABCDomain.am,MD5
9teens.org,VBULLETIN
vectorlinux.com,SHA1(SALTPLAIN)
projectpokemon.org,VBULLETIN
OVH.com,VBULLETIN
game-tuts.com,VBULLETIN
HIAPK.com,VBULLETIN
Mangafox.me,VBULLETIN
Funimation.com,VBULLETIN
Shadi.com,SHA1
Cfire.mail.ru,VBULLETIN
Subagames.com,VBULLETIN
Frozencraft.ru,IPB
PE Forums,MYBB
