name,repository
pry-nav,https://github.com/nixme/pry-nav
aws-sdk-core,https://github.com/aws/aws-sdk-ruby
berkshelf,https://github.com/berkshelf/berkshelf
coffee-script-source,https://github.com/jashkenas/coffeescript
rouge,https://github.com/jneen/rouge
quiet_assets,https://github.com/evrone/quiet_assets
fluentd,https://github.com/fluent/fluentd
parallel,https://github.com/grosser/parallel
hpricot,https://github.com/hpricot/hpricot
acts_as_list,https://github.com/swanandp/acts_as_list
aws-sdk-v1,https://github.com/aws/aws-sdk-ruby
aasm,https://github.com/aasm/aasm
middleman,https://github.com/middleman/middleman
jbuilder,https://github.com/rails/jbuilder
rspec-its,https://github.com/rspec/rspec-its
fastlane,https://github.com/fastlane/fastlane
delayed_job,https://github.com/collectiveidea/delayed_job
loofah,https://github.com/flavorjones/loofah
actioncable,https://github.com/rails/rails
newrelic_rpm,https://github.com/newrelic/rpm
html-pipeline,https://github.com/jch/html-pipeline
childprocess,https://github.com/enkessler/childprocess
airbrake,https://github.com/airbrake/airbrake
rails_best_practices,https://github.com/railsbp/rails_best_practices
brakeman,https://github.com/presidentbeef/brakeman
puppet-lint,https://github.com/rodjek/puppet-lint
xcodeproj,https://github.com/CocoaPods/Xcodeproj
redis-namespace,https://github.com/resque/redis-namespace
paper_trail,https://github.com/airblade/paper_trail
twitter,https://github.com/sferik/twitter
slack-notifier,https://github.com/stevenosloan/slack-notifier
json-schema,https://github.com/ruby-json-schema/json-schema
font-awesome-rails,https://github.com/bokmann/font-awesome-rails
em-websocket,https://github.com/igrigorik/em-websocket
rspec-puppet,https://github.com/rodjek/rspec-puppet
carrierwave,https://github.com/carrierwaveuploader/carrierwave
nanoc,https://github.com/nanoc/nanoc
sys-proctable,https://github.com/djberg96/sys-proctable
foodcritic,https://github.com/acrmp/foodcritic
parallel_tests,https://github.com/grosser/parallel_tests
vagrant,https://github.com/mitchellh/vagrant
sinatra-contrib,https://github.com/sinatra/sinatra-contrib
annotate,https://github.com/ctran/annotate_models
