name	url	sha1	sha256	sha512
ruby-1.0-971118	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-1.0-971118.tar.gz	a5d0b4c8bb2577d4c0c9246d5b65fd4893dc89be	5400b2c893723df2f7ab86b7f8b73fe4ecfdc7c5668f3a63f740c7e934e7ad92	97bb4b2455798f5893bf34b8564e5de61b4fdd9619afe6c8f09d2d9fe65488fee96c279f3042023339cd1f751005dfc589ede5762a476a5092a8422f0cb4da94
ruby-0.49	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.49.tar.gz	f48c4e98aeb73b42a887466765d3199c509e0384	4ad1b6c76b19a04231598ecdf6a1ecf4ff1a32da48f6889a77d7b62c0b7ebde2	859951877c73dc7e8e2ba5f62464a43f49e4e6b808c6aa293fd52b78cbd99fd0f8f7612c7c530aeaaf8a8d9cd6d803c62f40557ec9505102c587cb88828b8203
ruby-0.67-0.68.diff.gz	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.67-0.68.diff.gz	eec4082bececcbe7b31e1051e35327be0f9bf946	c40ef0c6fc2197e1270ca4d4c2391b1e84e8fdc789086cbe1ee86bd9b3fe965b	2929109e52932326b3a3b5b65febcb24003f4c195484c6e0c3d9093decd75180e49d5bcf7139b9b81602404adf0490a39e65d2c860121953288bc3379d9e2bca
ruby-0.65	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.65.tar.gz	54760314faf8e72d354de7670f3deb519df70536	48e120fc4e5e7f0ce2b965d194c397ca810f97a630d0a77461559355a8ac3d8f	69ff12c3d71267d30b4679696181e037ad427e97f51c5145e0cc3ce8439b233b4980277a81079b1f2de1383a97f68bb84a4e3c80d879ff884097b8365ea98b4d
ruby-1.0-971002	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-1.0-971002.tar.gz	798819c0ce684e96544ab14a9c16ea001a371a6b	f7fab9ab6b8ed4fc0af1e2687a3ad865e92cf0848354a4121934d4ed7094c28c	7dfbfddb022f245541febb290556032347a44650b380ed08774ad9e4ab02ec1c740648e39b962f14c916876404435fa47cc697250ab3d9bf84b55374ee9e6c9e
ruby-0.55-0.56.diff.gz	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.55-0.56.diff.gz	47c1a3c8d27f0e26b3d715ba968deb70ba1bbddd	cc156a128d18719d2a648be3a0120443391d3a162474ab717771038fdbeffc40	ef2fa33b0b74979a24062ac3d4234bd4f91809b5f599d9ea9f69d56896949ebdf2794da6f2a55a623dcbf483aaed33bde5db7942873cddba979949b53cdf9d67
ruby-0.73-950413	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.73-950413.tar.gz	4918b071e8c37e31f46446359c2c04742f376306	e0c9d09c3f88ef22ccd41eb7a107a0f53ae5bc68d78fbad5a19c51d245c95342	26aa0f65d6a96aec6de280c139720684cc99d97a78157c98c2bb53c2055518a278cedae35cafb4f99908ea57ce608ecdd1a1175904a34db12c010a8b93e2fb73
ruby-0.71	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.71.tar.gz	d5bcd216930ad473a448a29c4d1a07bb7c38cab9	214049f29caa3ee250566df215bb5b127dfc2367f13367dc547d86f3b24ecd09	f1846ab9dd37e184b4ae1741d066e7907b6837a3426d7bb73bebdb28f0b2f0c4d33db5c222460ccf94f188761034be658f08f33c00ea6428b7315396996673a8
ruby-1.0-971125	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-1.0-971125.tar.gz	62007eef283c1b683b4a9b5025bcb3cde8663fd1	81a94e99d0b40add1435cb7fff832b78182ae12a90f30ffca7c671424e244afb	d5df4ac58da5877a0da33e024de548ddee0adec5565a86f4b3ad7ef1d06e8d104b1c820f634d648c3e5e93e4558347e314a50dcb5407abd03362aaf663e31cd9
ruby-0.50	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.50.tar.gz	ee169677848f57950d01ff6515c80f58d3d1063f	8311017f7a0e32c3039e689f7517b87215f4c128fde6808ed6d30e4c55450ee5	53bd9e86c85fc80be28c19807dac061bec944ee4f3f33c715599c52fbc2b13967545e9f752cd011f7eea47d7294d6f6a07a0bec9ddb1472eb878a05944c92b46
